ID,Scenario,New Pipeline,Costs,Capturable CO2 (kt),Lat1,Long1,SUM(Total cost toggle),Latitude (generated),Longitude (generated),ATTR(CO2 emissions (kt)),ATTR(Capturable CO2 (kt)),ATTR(Capture cost - high (EUR/t CO2)),ATTR(Capture costs - low (EUR/t CO2)),ATTR(Facility name),ATTR(Sector_reviewed),ATTR(Selected storage),ATTR(Selected transport),ATTR(Total costs - high (EUR/t CO2)),ATTR(Total costs - low (EUR/t CO2)),ATTR(Transport + storage (EUR/t) - high),ATTR(Transport + storage (EUR/t) - low)
964,Short term,Not possible,High estimates,278.18519399999997,53.6744,-7.9837,219.73771150579847,53.6744,-7.9837,309,278.18519399999997,120,60,Electricity Supply Board (Lough Ree Power),Power and heat,Storage far,Coastline 50_100,219.73771150579847,134.73771150579847,99.73771150579847,74.73771150579847
965,Short term,Not possible,High estimates,278.1,57.0316,1.95381,138.0,57.0316,1.95381,309,278.1,120,55,Shearwater,Oil and gas,%null%,%null%,138.0,73.0,18.0,18.0
966,Short term,Not possible,High estimates,278.0613,43.823333,10.600222,191.68555762175157,43.823333,10.600222,309,278.0613,125,65,Impianto di Cogenerazione,Power and heat,Storage point 100_200,Coastline 10_50,191.68555762175157,106.68555762175157,66.68555762175157,41.68555762175157
967,Short term,Not possible,High estimates,277.6365,52.4584,-1.84175,198.46663581878076,52.4584,-1.84175,308,277.6365,125,65,Tyseley Energy from Waste Plant,Waste management,Storage point 100_200,Coastline 50_100,198.46663581878076,113.46663581878076,73.46663581878076,48.46663581878076
968,Short term,Not possible,High estimates,277.2,49.8293962997,9.14808048105,227.38994839553362,49.8293962997,9.14808048105,308,277.2,125,65,Kraftwerk Obernburg GmbH,Power and heat,Storage point 400_500,Waterway 0_10,227.38994839553362,142.38994839553362,102.38994839553362,77.38994839553362
969,Short term,Not possible,High estimates,277.2,50.4188568965,8.11153927412,217.5746266436834,50.4188568965,8.11153927412,308,277.2,115,55,"Schaefer Kalk GmbH & Co. KG, Werk Steeden",Non-metallic minerals,Storage point 300_400,Waterway 50_100,217.5746266436834,132.5746266436834,102.57462664368339,77.57462664368339
970,Short term,Not possible,High estimates,276.965802,41.283333,16.283333,192.24796960419957,41.283333,16.283333,308,276.965802,115,55,Cementeria di Barletta,Non-metallic minerals,Storage point 400_500,Coastline 0_10,192.24796960419957,107.24796960419957,77.24796960419957,52.24796960419956
971,Short term,Not possible,High estimates,276.73301436084006,49.5872583333,17.2664222222,284.74245987707013,49.5872583333,17.2664222222,307,276.73301436084006,125,65,Teplárna Olomouc,Power and heat,Storage far,Railway 0_5,284.74245987707013,199.74245987707016,159.74245987707016,134.74245987707016
972,Short term,Not possible,High estimates,275.40000000000003,44.5331962,27.3884258,222.79631346624498,44.5331962,27.3884258,612,275.40000000000003,135,70,S.C. CHEMGAS HOLDING CORPORATION SRL - Combinat chimic Slobozia,Chemicals/Petrochemicals,Storage point 400_500,Coastline 50_100,222.79631346624498,132.79631346624498,87.79631346624498,62.796313466244975
973,Short term,Not possible,High estimates,275.40000000000003,51.87,4.28742,139.25077552709317,51.87,4.28742,612,275.40000000000003,120,70,Air Products Nederland BV (Pernis),Chemicals/Petrochemicals,Storage point 0_100,Pipeline 0_10,139.25077552709317,89.25077552709317,19.250775527093168,19.250775527093168
974,Short term,Not possible,High estimates,274.5,42.54,9.47,197.47141038837816,42.54,9.47,305,274.5,125,65,EDF Production Electrique Insulaire - Etablissement de Haute Corse,Power and heat,Storage point 300_400,Coastline 0_10,197.47141038837816,112.47141038837816,72.47141038837816,47.47141038837816
975,Short term,Not possible,High estimates,273.75,47.8072757691,10.9000399885,222.5595932217859,47.8072757691,10.9000399885,365,273.75,115,55,"UPM GmbH, Werk Schongau",Pulp and paper,Storage point 300_400,Railway 0_5,222.5595932217859,137.5595932217859,107.55959322178589,82.55959322178589
976,Short term,Not possible,High estimates,273.6,47.1135429078,8.37596679711,252.46898369472427,47.1135429078,8.37596679711,304,273.6,130,65,Renergia Zentralschweiz AG,Waste management,Storage point 400_500,Railway 0_5,252.46898369472427,162.46898369472427,122.46898369472426,97.46898369472426
977,Short term,Not possible,High estimates,273.2625,52.6727,-2.11457,198.46663581878076,52.6727,-2.11457,304,273.2625,125,65,Staffordshire Energy Recovery Facility,Waste management,Storage point 100_200,Coastline 50_100,198.46663581878076,113.46663581878076,73.46663581878076,48.46663581878076
978,Short term,Not possible,High estimates,273.23606700000005,65.73843,7.654019,133.0,65.73843,7.654019,304,273.23606700000005,115,55,Skarv,Oil and gas,%null%,%null%,133.0,73.0,18.0,18.0
979,Short term,Not possible,High estimates,272.7,57.5803,-1.84165,139.25077552709317,57.5803,-1.84165,303,272.7,120,55,Golden Eye Module,Oil and gas,Storage point 0_100,Pipeline 0_10,139.25077552709317,74.25077552709317,19.250775527093168,19.250775527093168
980,Short term,Not possible,High estimates,271.8,61.1788,26.0805,224.73771150579847,61.1788,26.0805,302,271.8,125,65,"Stora Enso Oyj, Heinolan Flutingtehdas",Power and heat,Storage far,Coastline 50_100,224.73771150579847,139.73771150579847,99.73771150579847,74.73771150579847
981,Short term,Not possible,High estimates,271.8,55.4807992,5.1088522,138.0,55.4807992,5.1088522,302,271.8,120,55,Mærsk Olie og Gas A/S - Dan F,Oil and gas,%null%,%null%,138.0,73.0,18.0,18.0
982,Short term,Not possible,High estimates,270.90000000000003,50.3174802525,8.05232822624,210.7935484466542,50.3174802525,8.05232822624,301,270.90000000000003,115,55,Schaefer Kalk  GmbH & Co. KG,Non-metallic minerals,Storage point 300_400,Waterway 10_50,210.7935484466542,125.7935484466542,95.7935484466542,70.7935484466542
983,Short term,Not possible,High estimates,270.90000000000003,50.2931,5.9549,183.24006510345285,50.2931,5.9549,301,270.90000000000003,125,70,INDUSTRIE DU BOIS VIELSALM & CIE - IBV,Other,Storage point 200_300,Pipeline 0_10,183.24006510345285,103.24006510345286,58.240065103452864,33.240065103452864
984,Short term,Not possible,High estimates,270.2788776,64.99371,6.549454,138.0,64.99371,6.549454,300,270.2788776,120,55,Kristin,Oil and gas,%null%,%null%,138.0,73.0,18.0,18.0
985,Short term,Not possible,High estimates,270.0,53.7814920904,9.42599912705,197.69485117255675,53.7814920904,9.42599912705,300,270.0,130,65,Steinbeis Energie GmbH,Power and heat,Storage point 200_300,Coastline 0_10,197.69485117255675,107.69485117255675,67.69485117255675,42.69485117255675
986,Short term,Not possible,High estimates,270.0,37.182824,-6.895319,192.71596665026217,37.182824,-6.895319,300,270.0,130,65,COGENERACIÓN DE REFINERÍA LA RÁBIDA (DETISA),Power and heat,Storage far,Pipeline 0_10,192.71596665026217,102.71596665026217,62.715966650262175,37.715966650262175
987,Short term,Not possible,High estimates,269.796573,53.2898,-7.08477,207.79631346624498,53.2898,-7.08477,300,269.796573,120,60,Edenderry Power Limited,Power and heat,Storage point 400_500,Coastline 50_100,207.79631346624498,122.79631346624498,87.79631346624498,62.796313466244975
988,Short term,Not possible,High estimates,268.5,48.183056,14.256111,237.46898369472427,48.183056,14.256111,358,268.5,115,55,Smurfit Kappa Nettingsdorf AG & Co KG,Pulp and paper,Storage point 400_500,Railway 0_5,237.46898369472427,152.46898369472427,122.46898369472426,97.46898369472426
989,Short term,Not possible,High estimates,267.3,47.975555,13.61675,232.5595932217859,47.975555,13.61675,297,267.3,125,65,RVL Reststoffverwertung Lenzing GmbH,Waste management,Storage point 300_400,Railway 0_5,232.5595932217859,147.5595932217859,107.55959322178589,82.55959322178589
990,Short term,Not possible,High estimates,267.3,39.9417,-3.8528,190.22935467981256,39.9417,-3.8528,297,267.3,130,65,"IBERDROLA GENERACIÓN, S.A.U. (ACECA 3)",Power and heat,Storage point 400_500,Pipeline 0_10,190.22935467981256,100.22935467981256,60.22935467981256,35.22935467981256
991,Short term,Not possible,High estimates,267.23920680000003,49.8595876611,16.9478476111,274.74245987707013,49.8595876611,16.9478476111,297,267.23920680000003,115,55,VÁPENKA VITOŠOV s.r.o.,Non-metallic minerals,Storage far,Railway 0_5,274.74245987707013,189.74245987707016,159.74245987707016,134.74245987707016
992,Short term,Not possible,High estimates,267.2051472,56.3761749,3.264366,138.0,56.3761749,3.264366,297,267.2051472,120,55,Eldfisk,Oil and gas,%null%,%null%,138.0,73.0,18.0,18.0
